...1,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,log10_padj,sig,bigfc
ENSG00000004799,945.14667312654,-2.82518728936952,0.700951003226368,-4.03050609295888,5.56568861282192e-5,0.00836993941389758,PDK4,2.077277685651327,TRUE,TRUE
ENSG00000019549,600.485565890395,-3.51200437907308,0.869144825150081,-4.04075854500617,5.32785915461257e-5,0.00815162450655724,SNAI2,2.0887558337226837,TRUE,TRUE
ENSG00000095637,289.660960534317,-2.17754094312182,0.39246882188745,-5.54831574301789,2.88434639767705e-8,2.20652499422294e-5,SORBS1,4.656291148755368,TRUE,TRUE
ENSG00000096060,6115.68404873878,-2.34575381938487,0.287711963845443,-8.15313269574355,3.54616137824071e-16,3.1197354725072597e-12,FKBP5,11.50588222896259,TRUE,TRUE
ENSG00000100003,572.466894917686,-2.33864449981548,0.384924959993189,-6.07558548517317,1.23536146970256e-9,1.67201423533973e-6,SEC14L2,5.7767600293472565,TRUE,TRUE
ENSG00000100344,103.884216231535,-2.85559538409628,0.529494044198125,-5.39306421929795,6.92661828308345e-8,4.06246162302844e-5,PNPLA3,4.391210728655704,TRUE,TRUE
ENSG00000105219,22.7571073221766,-2.03636741402626,0.424050801754966,-4.80217795980719,1.56949109779044e-6,5.753165805338e-4,CCNP,3.2400931094951475,TRUE,TRUE
ENSG00000105997,121.040912853654,2.43316576754732,0.619096217410602,3.93019000782164,8.48787601166023e-5,0.0120438853568679,HOXA3,1.9192333870945675,TRUE,TRUE
ENSG00000107249,33.7643046018324,-4.52575684004465,1.05024047667986,-4.30925768006199,1.63803425807468e-5,0.00327513781486636,GLIS3,2.484770420564808,TRUE,TRUE
ENSG00000107954,86.8559605403825,-2.77080641173837,0.607936313770097,-4.55772479613087,5.17107320911796e-6,0.0013579855688721,NEURL1,2.8671048452193726,TRUE,TRUE
ENSG00000109906,128.472898390382,-4.08114899731734,0.602873027417577,-6.76950006338657,1.2922815703177e-11,3.78961570495665e-8,ZBTB16,7.421404828469598,TRUE,TRUE
ENSG00000112139,153.80037535967,-2.58962839914324,0.614373034706265,-4.2150749672491,2.49695231577041e-5,0.00430724274470395,MDGA1,2.365800651869926,TRUE,TRUE
ENSG00000113231,103.21392761307,-2.14025970379883,0.471341027380365,-4.54078804829285,5.60443515895702e-6,0.00145014759738013,PDE8B,2.8385877926163996,TRUE,TRUE
ENSG00000116741,132.162805074514,-2.17421107776417,0.466209922046681,-4.66358817122401,3.10742953259563e-6,9.3121052378569e-4,RGS2,3.030952124622636,TRUE,TRUE
ENSG00000118515,415.549380970947,-3.24345921223223,0.421345672244943,-7.69785813854685,1.3836585768049999e-14,6.086368164721e-11,SGK1,10.215641780687886,TRUE,TRUE
ENSG00000120318,394.431775016513,-3.37906499307316,0.391296842018101,-8.63555395858996,5.844312775707979e-18,1.02830683288582e-13,ARAP3,12.98787727838906,TRUE,TRUE
ENSG00000125089,912.867416069172,-2.33255701133749,0.349684880205193,-6.67045429578985,2.5501278436701397e-11,6.40992848705374e-8,SH3TC1,7.1931468156997775,TRUE,TRUE
ENSG00000128512,382.167774807367,-2.41088362412166,0.46316010575351,-5.20529206676689,1.93691722945608e-7,9.46668295896659e-5,DOCK4,4.023802167244822,TRUE,TRUE
ENSG00000129451,380.206452945983,-2.50872110399508,0.608838052523509,-4.12050641972351,3.780405326935e-5,0.0061589103451316,KLK10,2.2104961178610396,TRUE,TRUE
ENSG00000134531,2338.21619219372,-4.04746920647924,0.667768438660631,-6.0611867410167,1.35120841945059e-9,1.69679065994646e-6,EMP1,5.770371735076641,TRUE,TRUE
ENSG00000135842,627.925676463677,-2.059425032079,0.478905553357213,-4.30027385909825,1.70587169363125e-5,0.00337245083701593,NIBAN1,2.472054372677058,TRUE,TRUE
